Date,Traffic_Mawa,Traffic_Jajira,Cash_Mawa,Cash_Jajira,Total_Traffic,Total_Cash
03/08/2023,7754,7389,11393250,11236150,15143,22629400
03/09/2023,6879,6857,9982750,10787150,13736,20769900
03/10/2023,9318,9198,13366800,13483950,18516,26850750
03/11/2023,7344,8942,11034800,12815300,16286,23850100
03/12/2023,7030,7373,10884000,11309350,14403,22193350
13/03/2023,7237,7074,11308700,11103700,14311,22412400
14/03/2023,7152,7256,11073850,11596400,14408,22670250
15/03/2023,7177,7434,10993450,11778750,14611,22772200
16/03/2023,8075,7389,11815500,11587250,15464,23402750
17/03/2023,9118,8863,12923300,12958200,17981,25881500
18/03/2023,7375,8816,11048900,12700700,16191,23749600
19/03/2023,6930,7386,10694850,11160300,14316,21855150
20/03/2023,7273,7356,11156350,11402650,14629,22559000
21/03/2023,7279,7609,11183100,11848200,14888,23031300
22/03/2023,6952,7405,10772100,11587900,14357,22360000
23/03/2023,7267,7433,11309500,11833200,14700,23142700
24/03/2023,6647,5874,10446100,9568600,12521,20014700
25/03/2023,5271,5341,8133650,8348000,10612,16481650
26/03/2023,5669,6408,8929100,9738750,12077,18667850
27/03/2023,5051,5659,8131850,8772450,10710,16904300
28/03/2023,5738,5740,9294650,9205100,11478,18499750
29/03/2023,5841,5683,9232350,9063650,11524,18296000
30/03/2023,6043,5632,9527350,9044650,11675,18572000
31/03/2023,6271,6001,9472600,9353150,12272,18825750
04/01/2023,4960,5691,7723350,8752000,10651,16475350
04/02/2023,5275,5357,8332100,8320650,10632,16652750
04/03/2023,5438,5617,8549850,9005150,11055,17555000
04/04/2023,5636,5669,8975500,9152600,11305,18128100
04/05/2023,5691,5754,8992200,9248500,11445,18240700
04/06/2023,6198,5834,9544850,9164100,12032,18708950
04/07/2023,6658,6182,10100100,9544050,12840,19644150
04/08/2023,5469,6246,8310600,9360700,11715,17671300
04/09/2023,5674,5835,8945850,9243950,11509,18189800
04/10/2023,6121,6260,9515400,9844850,12381,19360250
04/11/2023,6067,6084,9511150,9661500,12151,19172650
04/12/2023,6238,6329,9685250,9969550,12567,19654800
13/04/2023,6856,6338,10542850,10038600,13194,20581450
14/04/2023,7606,7087,11259300,10938900,14693,22198200
15/04/2023,6081,6732,9165950,10192600,12813,19358550
16/04/2023,6448,6712,9588600,10504250,13160,20092850
17/04/2023,7713,7703,11665000,12262850,15416,23927850
18/04/2023,9609,8934,14093650,14186350,18543,28280000
19/04/2023,13725,10410,18745150,16002050,24135,34747200
20/04/2023,23049,11219,21494300,15854100,34268,37348400
21/04/2023,23464,12060,22349100,16800900,35524,39150000
22/04/2023,14064,9776,10114950,8045100,23840,18160050
23/04/2023,19277,17242,13000550,13003250,36519,26003800
24/04/2023,15478,18159,11783750,13720550,33637,25504300
25/04/2023,12833,19431,11784600,15783850,32264,27568450
26/04/2023,11707,17676,12676000,15793100,29383,28469100
27/04/2023,10946,14108,13273400,14735350,25054,28008750
28/04/2023,14037,21143,16089800,19731800,35180,35821600
29/04/2023,10348,15467,14250600,16027350,25815,30277950
30/04/2023,9802,11956,12665650,13663350,21758,26329000
05/01/2023,11809,14697,12503250,14412900,26506,26916150
05/02/2023,7847,9444,10549400,11264100,17291,21813500
05/03/2023,9130,8732,11136850,11364950,17862,22501800
05/04/2023,11703,10090,12349100,11851950,21793,24201050
05/05/2023,11969,13077,12087450,12751150,25046,24838600
05/06/2023,8609,11749,10571850,12223300,20358,22795150
05/07/2023,7563,8654,10125250,10746950,16217,20872200
05/08/2023,7872,8037,10569400,10725700,15909,21295100
05/09/2023,7813,8148,10280800,10963500,15961,21244300
05/10/2023,7749,7942,10308800,10669300,15691,20978100
05/11/2023,9561,8272,11144000,11290450,17833,22434450
05/12/2023,11898,11922,12362500,12995050,23820,25357550
13/05/2023,8011,10016,10012100,11212800,18027,21224900
14/05/2023,6984,7318,9443000,9431800,14302,18874800
15/05/2023,7291,7653,9834850,10312350,14944,20147200
16/05/2023,7664,7897,10314150,10984700,15561,21298850
17/05/2023,7401,7928,10019250,11014300,15329,21448550
18/05/2023,8991,7639,10866100,10613900,16630,21480000
19/05/2023,11785,10967,12640400,12285900,22752,24926300
20/05/2023,7914,10040,9848400,11554050,17954,21402450
21/05/2023,7456,8311,9927950,10493250,15767,20421200
22/05/2023,7762,7849,10299350,10573450,15611,20872800
23/05/2023,7251,7413,10044450,10389700,14664,20434150
24/05/2023,7555,7881,10102300,10998600,15436,21100900
25/05/2023,9748,8458,11314200,11393100,18206,22707300
26/05/2023,11944,10948,13354600,12418650,22892,25773250
27/05/2023,7955,10369,10225350,12044100,18324,22269450
28/05/2023,7946,8666,10489000,10774900,16612,21263900
29/05/2023,7509,8137,9989450,10876000,15646,20865450
30/05/2023,7611,7943,10402850,10828450,15554,21231300
31/05/2023,7630,7731,10316100,10414050,15361,20730150
06/01/2023,9804,8173,11533200,11069100,17977,22602300
06/02/2023,11285,10574,12399500,12217100,21859,24616600
06/03/2023,7748,9846,10117250,11516300,17594,21633550
06/04/2023,7542,8457,10142000,10628600,15999,20770600
06/05/2023,7674,7804,10448900,10541700,15478,20990600
06/06/2023,7514,7641,10218500,10361150,15155,20579650
06/07/2023,7419,7727,9900350,10742150,15146,20642500
06/08/2023,8840,7865,10956150,10952400,16705,21908550
06/09/2023,10032,9510,12095350,11799750,19542,23895100
06/10/2023,7484,8938,9751550,10444850,16422,20196400
06/11/2023,7523,7877,10136550,10148250,15400,20284800
06/12/2023,6869,7187,9304450,9899000,14056,19203450
13/06/2023,7466,7790,9997400,10564300,15256,20561700
14/06/2023,7380,7623,9932250,10315700,15003,20247950
15/06/2023,8539,8158,10668000,11150400,16697,21818400
16/06/2023,10724,9965,12384300,11992500,20689,24376800
17/06/2023,7783,9331,9925950,11095700,17114,21021650
18/06/2023,7552,7961,10238550,10446050,15513,20684600
19/06/2023,7738,7862,10577750,10865050,15600,21442800
20/06/2023,7719,7825,10870000,11333400,15544,22203400
21/06/2023,8281,8444,11464050,12093400,16725,23557450
22/06/2023,10044,9531,13146850,14127250,19575,27274100
23/06/2023,13067,12013,15933250,16622150,25080,32555400
24/06/2023,10276,10721,13236150,14685250,20997,27921400
25/06/2023,11731,10417,14611400,14811550,22148,29422950
26/06/2023,19727,11571,19495400,16587550,31298,36082950
27/06/2023,29897,13240,26953950,19099350,43137,46053300
28/06/2023,20829,11315,21329000,16389050,32144,37718050
29/06/2023,9977,6451,10272100,7438150,16428,17710250
30/06/2023,13928,10377,13335900,11498900,24305,24834800
07/01/2023,11865,15468,12152800,14612200,27333,26765000
07/02/2023,10897,17628,11537150,15371650,28525,26908800
07/03/2023,10862,18747,12800000,16923450,29609,29723450
07/04/2023,11091,17696,13669050,16855150,28787,30524200
07/05/2023,10515,14843,13555400,16025150,25358,29580550
07/06/2023,10821,12400,13441000,14387450,23221,27828450
07/07/2023,12820,16875,15767950,18206150,29695,33974100
07/08/2023,10051,14153,13579650,15050200,24204,28629850
07/09/2023,8363,10213,11361450,12196900,18576,23558350
07/10/2023,8310,9542,11446850,12409650,17852,23856500
07/11/2023,7878,8743,10800750,11596700,16621,22397450
07/12/2023,7901,7367,10921450,9674300,15268,20595750
13/07/2023,9468,8609,11289100,11400850,18077,22689950
14/07/2023,11435,11082,13051000,12999200,22517,26050200
15/07/2023,8394,10140,10806750,11547100,18534,22353850
16/07/2023,7856,8407,10444750,10789650,16263,21234400
17/07/2023,7868,8205,10596450,11058500,16073,21654950
18/07/2023,7718,7990,10676000,10477100,15708,21153100
19/07/2023,7530,7941,10125300,10926150,15471,21051450
20/07/2023,9811,8714,11546600,11586850,18525,23133450
21/07/2023,11632,11059,12948950,12863250,22691,25812200
22/07/2023,8196,9795,10355050,11164850,17991,21519900
23/07/2023,7723,8351,10186700,10617350,16074,20804050
24/07/2023,7793,7815,10406650,10211500,15608,20618150
25/07/2023,7760,7902,10287700,10629550,15662,20917250
26/07/2023,7964,8243,10453550,11248750,16207,21702300
27/07/2023,9507,7692,10941450,10626000,17199,21567450
28/07/2023,10383,8903,12064550,11157050,19286,23221600
29/07/2023,7803,10170,9750050,11433800,17973,21183850
30/07/2023,7234,8682,9410400,10196350,15916,19606750
31/07/2023,7267,7589,9925700,10252600,14856,20178300
08/01/2023,7533,7672,10040750,10302550,15205,20343300
08/02/2023,7310,7448,9872250,103303000,14758,20202550
08/03/2023,8797,7852,10276550,10781750,16649,21058300
08/04/2023,10007,9716,11874400,11955600,19723,23830000
08/05/2023,7536,9623,9480900,11067050,17159,20547950
08/06/2023,6927,7569,9438750,9863000,14496,19301750
08/07/2023,6375,6559,8964800,9150300,12934,18115100
08/08/2023,6352,6725,8846500,9503250,13077,18349750
08/09/2023,6853,7251,9242900,9994100,14104,19237000
08/10/2023,8710,7815,10663400,11008500,16525,21671900
08/11/2023,10127,9525,11838600,11837900,19652,23676500
08/12/2023,7311,9136,9343850,10920750,16447,20264600
13/08/2023,6835,7390,9553800,10076350,14225,19630150
14/08/2023,7507,7347,9693350,10465100,14854,20158450
15/08/2023,9492,9395,11292650,11473550,18887,22766200
16/08/2023,6432,7530,8488950,9605800,13962,18094750
17/08/2023,8618,7676,10544200,10605350,16294,21149550
18/08/2023,11169,10534,12856950,12691850,21703,25548800
19/08/2023,7420,9455,9725900,11043400,16875,20769300
20/08/2023,7262,8260,9839750,10898450,15522,20738200
21/08/2023,7336,7806,10041400,10743100,15142,20784500
22/08/2023,7377,7633,10195050,10778900,15010,20973950
23/08/2023,7717,7646,10415250,10728600,15363,21143850
24/08/2023,8929,8128,10821100,11489250,17057,22310350
25/08/2023,10792,9801,12667400,12375800,20593,25043200
26/08/2023,7236,9384,9405150,11196200,16620,20601350
27/08/2023,7120,8040,9549950,10353200,15160,19903150
28/08/2023,7302,7706,10029500,10620750,15008,20650250
29/08/2023,7544,7553,10328400,10354850,15097,20683250
30/08/2023,7635,7825,10166350,10834500,15460,21000850
